RX Cal Data Subarray 4,RX Cal Data Subarray 2,RX Cal Data Subarray 1,RX Cal Data Subarray 3
111.63722407181001,32322.52175104549,4632.0,32767.0
3551.4479395362064,28287.242621043093,8035.0,32767.0
2364.5076323214225,31603.487420483863,-1583.0,32767.0
4764.384033797314,14373.989562674651,4749.0,28672.0
5840.841648471589,4075.2670902428695,112.0,-2079.0
-1219.8018240883835,2879.9956611280304,3967.0,2565.0
808.7364128666119,-33891.59042821258,-19725.0,643.0
-6165.9822912169475,2051.5006655292,-32768.0,-7631.0
-30947.957752683815,-33391.37594197563,-32768.0,506.0
-16730.925938790715,-25609.682214192002,-32768.0,-2332.0
-46333.197402326885,947.0154726213158,-32768.0,-1355.0
-45490.13115632999,-4264.482347543762,-32768.0,-6017.0
-46333.197402326885,-1680.1064067765362,-32768.0,-118.0
-13614.09349533765,-5762.653985405871,-32768.0,-1863.0
-30935.39996273275,-1867.0999928778726,-32768.0,-2236.0
-932.8085800139412,36.035513101361,-13442.0,5005.0
838.0848185734967,-2400.6318699198246,4464.0,25874.0
-1164.041262419517,8070.789402829032,10084.0,32767.0
155.51374046556023,-19.207078851106978,-474.0,32767.0
9649.680913051203,2199.7671353585724,1828.0,32767.0
467.3409376050899,1629.2296479676274,5226.0,32767.0
2757.503518775174,8817.541502296392,7987.0,32767.0
2141.8081044680753,31603.487420483863,-1381.0,30754.0
3959.5280341517932,24685.704115857683,3300.0,32767.0
1864.4451746428056,8326.675668382102,2310.0,14074.0
-1132.39663935766,7424.22575158386,5347.0,6668.0
1685.0394431468192,-30005.958892762334,-1152.0,-14535.0
-1649.7059996883324,4938.740764787368,2101.0,-32768.0
-13692.434622160254,-33891.59042821258,-1625.0,7908.0
-34413.73975523542,-31410.412440145934,-29148.0,-6961.0
-45436.900011104924,-33541.408878299684,-32768.0,1787.0
-44002.61856943695,-31604.45191181418,-32766.0,-10183.0
-46333.197402326885,-32845.19881858149,-32768.0,898.0
-22477.239644023997,-28279.81968241755,-31325.0,-2066.0
-24187.488552094048,2450.7286535928574,-32768.0,-2078.0
-16182.245490924564,-2969.5801134596322,-24941.0,1838.0
-52.015624340230715,-1714.7544336139272,-47.0,-2147.0
-3619.348861173596,8847.043290284044,79.0,4193.0
10534.508217243696,16.0350443477034,32767.0,-2636.0
30057.930273165905,3173.928852861196,29378.0,14976.0
-6593.83387612614,-6.966781122369279,32767.0,32767.0
5212.6635654315,8344.443028422129,8495.0,32767.0
547.739638102296,1164.2906523898685,-773.0,32767.0
6986.697088056693,1662.052797537404,3292.0,32767.0
950.5780929449782,2291.3558974629,3588.0,32767.0
-151.26890143318093,-1594.610618161079,8766.0,-3452.0
1428.3631298945281,-11031.524650977783,-3416.0,11717.0
-684.9795769115727,-29931.417006225616,5601.0,-32768.0
1160.1598550745962,-33891.59042821258,-5557.0,-32768.0
-2220.9261243961423,-33029.04936721027,-5534.0,-32768.0
632.5016335205371,-33603.180987463114,849.0,-32768.0
-13823.441276979938,-31842.57117781534,-4516.0,-29411.0
-46333.197402326885,-33101.11682790093,1256.0,2645.0
-35767.44358764553,-31800.901178752556,-32768.0,-3919.0
-20368.256831310482,-29747.5837552127,-32768.0,-1708.0
-30374.810657772337,2238.922069139527,-32768.0,-1332.0
-808.761094296493,-10905.069102594667,431.0,-596.0
-2056.367527640852,33729.3204631233,-7679.0,790.0
-808.761094296493,-5218.403500789035,26682.0,-1977.0
28591.375885344514,6246.234402841622,32767.0,8031.0
16621.561607709362,578.0416840994602,32387.0,-2565.0
46218.79769264316,9709.319261763707,32767.0,5823.0
46333.172720897004,1410.3404706543968,32767.0,-3889.0
38866.553040472725,1546.723418066391,32767.0,17829.0
-1683.961626885152,2193.2092142138604,31931.0,32767.0
1163.6638843036646,-251.49239589340397,11549.0,22572.0
2233.9839776947806,2650.8794770432705,-4026.0,-6077.0
-1483.4729043450404,-3715.278852625674,6981.0,-12369.0
50.154133143141145,2391.7134775766954,-7002.0,-4765.0
10.014237677324424,-12097.509627100637,-6155.0,-32768.0
1471.1539395451114,-33363.49124411034,-141.0,-30724.0
-9727.565871470668,-32544.780978551396,-1092.0,-32768.0
1.818168422673426,-32155.54986424337,-4170.0,-32768.0
-3192.8811801368865,-28583.29344173545,-8129.0,-32768.0
